X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date
-71.0271319996345,42.3383070001335,648013,10031,10031,E 1st St @ P St,,,,42.338307,-71.027132,LocalBus,,https://www.mbta.com/stops/10031,,0,,1,Boston,East First Street,P Street,3,#N/A,#N/A,#N/A,#N/A,0,#N/A,BOSTON,South Boston,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.0292030002668,42.3382740003634,648014,10032,10032,E 1st St opp O St,,,,42.338274,-71.029203,LocalBus,,https://www.mbta.com/stops/10032,,0,,1,Boston,East First Street,O Street,3,#N/A,#N/A,#N/A,#N/A,0,#N/A,BOSTON,South Boston,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.0294439999173,42.3381760003108,648015,10033,10033,E 1st St @ O St,,,,42.338176,-71.029444,LocalBus,,https://www.mbta.com/stops/10033,,0,,1,Boston,East First Street,O Street,3,3.166666667,Medium,Good,Concrete,0,5|9|11|10|7,BOSTON,South Boston,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.099485999413,42.3629879998011,648016,101,101,Massachusetts Ave @ Sidney St,,,,42.362988,-71.099486,LocalBus,,https://www.mbta.com/stops/101,,0,,1,Cambridge,Massachusetts Avenue,Sidney Street,3,6.5,Medium,Good,Concrete,JCD/CEMUSA,1|701,CAMBRIDGE,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.0763469997749,42.3316749995525,648017,10100,10100,Albany St @ Randall St,,,,42.331675,-71.076347,LocalBus,,https://www.mbta.com/stops/10100,,0,,1,Boston,Albany Street,Randall Street,3,3.458333333,Medium,Good,Concrete,0,1,BOSTON,Roxbury,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.0791469998279,42.3320660001677,648018,10101,10101,Melnea Cass Blvd @ Harrison Ave,,,,42.332066,-71.079147,LocalBus,,https://www.mbta.com/stops/10101,,0,,1,Boston,Melnea Cass Boulevard,Harrison Avenue,3,6.833333333,Medium,Good,Concrete,0,1|10,BOSTON,Roxbury,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.103404000603,42.3652910001068,648019,102,102,Massachusetts Ave @ Prospect St,,,,42.365291,-71.103404,LocalBus,,https://www.mbta.com/stops/102,,0,,1,Cambridge,Massachusetts Avenue,Essex Street,3,4.25,Medium,Good,Brick,0,1,CAMBRIDGE,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1537609999927,42.348295999876,648020,1026,1026,Chestnut Hill Ave @ Veronica Smith Ctr,,,,42.348296,-71.153761,LocalBus,,https://www.mbta.com/stops/1026,,0,,1,Boston,Chestnut Hill Avenue,,3,5.416666667,Medium,Cracked,Concrete,0,51|65|86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1520790004104,42.3371209996341,648021,1027,1027,Chestnut Hill Ave @ Englewood Ave,,,,42.337121,-71.152079,LocalBus,,https://www.mbta.com/stops/1027,,0,,1,Boston,Chestnut Hill Avenue,Englewood Avenue,3,4.666666667,Medium,Good,Concrete,JCD,51|86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1534510001234,42.3383119997352,648022,1029,1029,Chestnut Hill Ave @ Commonwealth Ave,,,,42.338312,-71.153451,LocalBus,,https://www.mbta.com/stops/1029,,0,,1,Boston,Chestnut Hill Avenue,Commonwealth Avenue,3,5.75,Medium,Good,Concrete,0,51|86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1550370000066,42.3405949997331,648023,1030,1030,Chestnut Hill Ave @ Strathmore Rd,,,,42.340595,-71.155037,LocalBus,,https://www.mbta.com/stops/1030,,0,,1,Boston,Chestnut Hill Avenue,Strathmore Road,3,6.583333333,Medium,Good,,0,51|86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1537259998818,42.3426449999471,648024,1032,1032,Chestnut Hill Ave opp Wiltshire Rd,,,,42.342645,-71.153726,LocalBus,,https://www.mbta.com/stops/1032,,0,,1,Boston,Chestnut Hill Avenue,Hatherly Road,3,2.833333333,Medium,Cracked,Concrete,MBTA,51|86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1532200000544,42.3446070001073,648025,1033,1033,Chestnut Hill Ave @ Wallingford Rd,,,,42.344607,-71.15322,LocalBus,,https://www.mbta.com/stops/1033,,0,,1,Boston,Chestnut Hill Avenue,William Jackson Avenue,3,8.166666667,Low,Good,,0,51|86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1529970001058,42.34612299974,648026,1034,1034,Chestnut Hill Ave @ Union St,,,,42.346123,-71.152997,LocalBus,,https://www.mbta.com/stops/1034,,0,,1,Boston,Chestnut Hill Avenue,Eulita Terrace,3,4,Medium,Good,Concrete,0,51|86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1533089994387,42.3492610000208,648027,1035,1035,Market St @ Washington St,,,,42.349261,-71.153309,LocalBus,,https://www.mbta.com/stops/1035,,0,,1,Boston,Market Street,Washington Street,3,7.25,Medium,Good,Concrete,0,86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1517629996576,42.3517379997871,648028,1036,1036,Market St @ Sparhawk St,,,,42.351738,-71.151763,LocalBus,,https://www.mbta.com/stops/1036,,0,,1,Boston,Market Street,Sparhawk Street,3,4.833333333,Medium,Good,Concrete,0,86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1503760000412,42.3540300003312,648029,1038,1038,Market St @ Morrow Rd,,,,42.35403,-71.150376,LocalBus,,https://www.mbta.com/stops/1038,,0,,1,Boston,Market Street,Gardena Street,3,7.666666667,Medium,Good,Concrete,0,86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1493659994059,42.3555689999661,648030,1039,1039,Market St @ N Beacon St,,,,42.355569,-71.149366,LocalBus,,https://www.mbta.com/stops/1039,,0,,1,Boston,Market Street,Lawrence Place,3,7.25,Medium,Good,Concrete,0,86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1058129998699,42.366778999942,648031,104,104,Massachusetts Ave @ Inman St,,,,42.366779,-71.105813,LocalBus,,https://www.mbta.com/stops/104,,0,,0,Cambridge,Massachusetts Avenue,Inman Street,3,2.666666667,High,Good,Other,JCD/CEMUSA,1,CAMBRIDGE,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1482850001988,42.3573129998841,648032,1040,1040,Market St @ Guest St,,,,42.357313,-71.148285,LocalBus,,https://www.mbta.com/stops/1040,,0,,1,Boston,Market Street,Guest Street,3,3.416666667,Medium,Cracked,Concrete,JCD,86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1470820000553,42.3592789999538,648033,1041,1041,Market St @ Centola St,,,,42.359279,-71.147082,LocalBus,,https://www.mbta.com/stops/1041,,0,,1,Boston,Birmingham Parkway,Centola Street,3,7,Medium,Good,Concrete,0,86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.0973769996941,42.3148979997676,648034,10413,10413,Columbus Ave @ Weld Ave,,,,42.314898,-71.097377,LocalBus,,https://www.mbta.com/stops/10413,,0,,1,Boston,Columbus Avenue,Dixwell Street,3,4.333333333,Medium,Good,Concrete,0,22|29|44,BOSTON,Jamaica Plain,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.0872379995265,42.2982670004145,648035,10417,10417,American Legion Hwy @ Blue Hill Ave,,,,42.298267,-71.087238,LocalBus,,https://www.mbta.com/stops/10417,,0,,1,Boston,American Legion Highway,Blue Hill Avenue,3,5,Medium,Good,Concrete,0,14,BOSTON,Roxbury,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.0925069994444,42.2958279998345,648036,10418,10418,American Legion Hwy opp Franklin Hill Ave,,,,42.295828,-71.092507,LocalBus,,https://www.mbta.com/stops/10418,,0,,1,Boston,American Legion Highway,Ramp - American Legion Highway To Rt 203,3,4.916666667,Medium,Good,Concrete,0,14,BOSTON,Roxbury,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1098470005132,42.2859329996478,648037,10419,10419,American Legion Hwy @ Canterbury St,,,,42.285933,-71.109847,LocalBus,,https://www.mbta.com/stops/10419,,0,,1,Boston,American Legion Highway,Canterbury Street,3,3.916666667,Medium,Cracked,Asphalt,0,14,BOSTON,Roslindale,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1463409994557,42.3604590002391,648038,1042,1042,Market St @ Lothrop St,,,,42.360459,-71.146341,LocalBus,,https://www.mbta.com/stops/1042,,0,,1,Boston,Birmingham Parkway,Lothrop Street,3,2.25,Medium,Cracked,Concrete,0,86,BOSTON,Brighton,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.107389999863,42.2874500001826,648039,10421,10421,American Legion Hwy @ Walk Hill St,,,,42.28745,-71.10739,LocalBus,,https://www.mbta.com/stops/10421,,0,,1,Boston,American Legion Highway,Walk Hill Street,3,5.166666667,Medium,Good,Asphalt,0,14,BOSTON,Roslindale,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1116949994516,42.2847620002833,648040,10422,10422,Opp 684 American Legion Hwy,,,,42.284762,-71.111695,LocalBus,,https://www.mbta.com/stops/10422,,0,,1,Boston,American Legion Highway,Canterbury Street,3,5.916666667,Medium,Good,Asphalt,0,14,BOSTON,Roslindale,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.1162539996133,42.2807520001609,648041,10423,10423,American Legion Hwy @ Stella Rd,,,,42.280752,-71.116254,LocalBus,,https://www.mbta.com/stops/10423,,0,,1,Boston,American Legion Highway,Stella Road,3,4.333333333,Medium,Good,Concrete,0,14,BOSTON,Roslindale,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.116716000249,42.2784669995825,648042,10424,10424,American Legion Hwy @ Cummins Hwy,,,,42.278467,-71.116716,LocalBus,,https://www.mbta.com/stops/10424,,0,,1,Boston,American Legion Highway,Canterbury Street,3,4.916666667,Medium,Excellent,Concrete,0,14,BOSTON,Roslindale,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
